GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US420030201003017,420030201003017,"Block 3017, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003018,420030201003018,"Block 3018, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003019,420030201003019,"Block 3019, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003020,420030201003020,"Block 3020, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",65
1000000US420030201003021,420030201003021,"Block 3021, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003022,420030201003022,"Block 3022, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003023,420030201003023,"Block 3023, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003024,420030201003024,"Block 3024, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003025,420030201003025,"Block 3025, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004000,420030201004000,"Block 4000, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004001,420030201004001,"Block 4001, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004002,420030201004002,"Block 4002, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004003,420030201004003,"Block 4003, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004004,420030201004004,"Block 4004, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",388
1000000US420030201004005,420030201004005,"Block 4005, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004006,420030201004006,"Block 4006, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004007,420030201004007,"Block 4007, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004008,420030201004008,"Block 4008, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004009,420030201004009,"Block 4009, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",3
1000000US420030201004010,420030201004010,"Block 4010, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004011,420030201004011,"Block 4011, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004012,420030201004012,"Block 4012, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004013,420030201004013,"Block 4013, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004014,420030201004014,"Block 4014, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",172
1000000US420030201004015,420030201004015,"Block 4015, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004016,420030201004016,"Block 4016, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004017,420030201004017,"Block 4017, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004018,420030201004018,"Block 4018, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004019,420030201004019,"Block 4019, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201004020,420030201004020,"Block 4020, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005000,420030201005000,"Block 5000, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005001,420030201005001,"Block 5001, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005002,420030201005002,"Block 5002, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",5
1000000US420030201005003,420030201005003,"Block 5003, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005004,420030201005004,"Block 5004, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005005,420030201005005,"Block 5005, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005006,420030201005006,"Block 5006, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005007,420030201005007,"Block 5007, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005008,420030201005008,"Block 5008, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005009,420030201005009,"Block 5009, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005010,420030201005010,"Block 5010, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005011,420030201005011,"Block 5011, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005012,420030201005012,"Block 5012, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005013,420030201005013,"Block 5013, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005014,420030201005014,"Block 5014, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005015,420030201005015,"Block 5015, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005016,420030201005016,"Block 5016, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005017,420030201005017,"Block 5017, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005018,420030201005018,"Block 5018, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005019,420030201005019,"Block 5019, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005020,420030201005020,"Block 5020, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005021,420030201005021,"Block 5021, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005022,420030201005022,"Block 5022, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005023,420030201005023,"Block 5023, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005024,420030201005024,"Block 5024, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005025,420030201005025,"Block 5025, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005026,420030201005026,"Block 5026, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005027,420030201005027,"Block 5027, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005028,420030201005028,"Block 5028, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005029,420030201005029,"Block 5029, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005030,420030201005030,"Block 5030, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201005031,420030201005031,"Block 5031, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",0
